id_writer,name_w
301334,William Richert
301335,Larry Ferguson
301336,Dori Pierson
301337,Michael Stewart
301338,Ellen Green
301339,Emir Kusturica
301343,Robert Reneau
301344,Jay McInerney
301345,Harv Zimmel
301347,Frank LaLoggia
301348,Harold T.P. Hayes
301349,Rockne S. O'Bannon
301351,Steve De Jarnatt
301352,Colin Shindler
301353,Paul Reubens
301354,Tim Kazurinsky
301355,Agatha Christie
301356,Rupert Walters
301357,David Twohy
301358,Terry Black
301359,Stephen Singular
301361,James Oliver Curwood
301362,John Nichols
301363,Josh Goldstein
301365,Larry Ketron
301366,William C. Anderson
301367,Wendy Goldman
301368,Rowdy Herrington
301370,Steven Kampmann
301371,Mira Nair
301372,Yahoo Serious
301374,John Dixon
301375,Andy Breckman
301376,R.J. Stewart
301377,Mike Leigh
301379,Reine-Marie Paris
301380,Harvey Fierstein
301381,Deborah Blum
301382,Catherine Breillat
301385,Robert Abramoff
301387,Dean R. Koontz
301388,Amos Poe
301389,Philip Yordan
301390,R.J. Robertson
301394,Rex Burns
301396,Claire Denis
301397,Ken Kolb
301398,Gary Murphy
301399,Andrew Fleming
301401,Catherine Storr
301402,Rod Amateau
301403,James Ellroy
301404,Paul Golding
301405,Mike Figgis
301406,Matthew Chapman
301407,Ben Hecht
301410,Susan Sandler
301412,Spencer Eastman
301413,Stephen Neigher
301417,Frank Deford
301419,Robert Cormier
301422,Richard Brandes
301423,Tom Ropelewski
301424,Tracy Tormé
301425,Patricia Hearst
301426,Evelyn Waugh
301427,Mark Kasdan
301428,John Galsworthy
301429,Andrew Deutsch
301430,Richard Adams
301431,Jarre Fees
301432,Michael Blodgett
301433,Michael Kaplan
301435,Terence Davies
301436,Ed Turner
301438,Charles G. Booth
301439,Oscar Wilde
301441,Bill Fishman
301443,Michael Bortman
301446,Bob Kane
301447,Chris Matheson
301448,W.P. Kinsella
301449,Tom Schulman
301450,John Musker
301454,Stuart Gordon
301455,Dennis Shryack
301458,Steven Soderbergh
301461,Robert Harling
301465,Randy Feldman
301466,Ron Kovic
301467,Kevin Jarre
301473,Michael G. Wilson
301476,Richard Smith
301479,Earl Barret
301480,Daniel Lang
301481,John Bishop
301482,Shane Connaughton
301483,Warren Adler
301484,Patricia Louisianna Knop
301485,Terry Rossio
301486,David Chisholm
301487,'Weird Al' Yankovic
301488,Amy Heckerling
301491,Don Bluth
301494,David Webb Peoples
301495,Phillip Rhee
301497,Mark DiSalle
301499,Ava Ostern Fries
301500,Alfred Uhry
301501,James Fogle
301503,Daniel Jay Franklin
301505,Lewis Abernathy
301506,Richard Price
301508,Steven Siegel
301510,William Shakespeare
301511,Seth Winston
301512,Rob Hedden
301513,Robin Menken
301514,Choderlos de Laclos
301515,Michael Thomas
301518,Michael Jenning
301520,Fay Weldon
301522,Blaze Starr
301524,Michael Tolkin
301527,Terry Jones
301529,Larry Brothers
301531,Robin Schiff
301532,John Dahl
301534,John Varley
301535,Perry Howze
301536,Jon Connolly
301537,Hubert Selby Jr.
301539,Harold Nebenzal
301540,Myra Lewis
301542,Jean-Charles Tacchella
301543,Ryôzô Kasahara
301544,Neil Cuthbert
301547,John Godey
301548,Robert Conte
301549,Albert Z. Carr
301554,John Eskow
301562,P.F. Kluge
301563,Michael Varhol
301564,Christopher Hawthorne
301565,Stephen Metcalfe
301567,Michael Short
301570,Leonard Glasser
301571,Craig Lucas
301572,Martha Moran
301573,Anne Rivers Siddons
301575,André P. Brink
301576,Gaston Leroux
301577,Steven Greene
301578,Shimon Arama
301579,Hal Hartley
301580,Wesley Strick
301581,Allyn Warner
301582,Richard Curtis
301583,Lloyd Kaufman
301584,Robert Foster
301586,Mark Spragg
301587,Hisashi Nozawa
301588,David Rich
301590,Gerard Lee
301593,Damian Harris
301594,Bob Woodward
301595,Michael Weller
301597,Allan A. Goldstein
301598,Ken Wheat
301600,Tama Janowitz
301601,John Crowther
301602,Ildikó Enyedi
301603,Paul Bartel
301604,Thomas McKelvey Cleaver
301605,Pierre Schoendoerffer
301606,Alan J. Pakula
301608,Barbara Benedek
301609,Bobbie Ann Mason
301610,John Ehle
301611,Isaac Bashevis Singer
301613,Steve Ransohoff
301614,Dan Lewandowski
301615,J.P. Félix
301616,Noreen Stone
301617,Terrel Seltzer
301618,Alan Moskowitz
