id_movie,score_num,year_released
403046,7.8,1997
403047,7.7,1997
403048,7.0,1997
403049,6.9,1997
403050,8.3,1997
403051,7.2,1997
403052,7.5,1997
403053,6.9,1997
403054,7.5,1997
403055,8.2,1997
403056,8.6,1997
403057,7.5,1997
403058,7.3,1997
403059,4.5,1997
403060,6.5,1997
403061,3.8,1997
403062,6.7,1997
403063,7.3,1997
403064,6.0,1997
403065,6.6,1997
403066,8.4,1997
403067,6.2,1997
403068,7.2,1997
403069,7.7,1997
403070,7.8,1997
403071,7.2,1997
403072,5.7,1997
403073,6.2,1997
403074,7.2,1997
403075,6.9,1997
403076,7.7,1997
403077,5.5,1997
403078,7.2,1997
403079,6.1,1997
403080,6.6,1997
403081,5.7,1997
403082,8.0,1997
403083,6.9,1997
403084,6.3,1997
403085,4.8,1997
403086,6.5,1997
403087,3.9,1997
403088,6.2,1997
403089,7.6,1997
403090,7.2,1997
403091,5.2,1997
403092,6.2,1997
403093,7.1,1997
403094,6.9,1997
403095,6.7,1997
403096,6.4,1997
403097,6.9,1997
403098,7.2,1997
403099,6.7,1997
403100,6.7,1997
403101,6.9,1997
403102,6.0,1997
403103,6.4,1997
403104,6.6,1997
403105,6.0,1997
403106,6.2,1997
403107,7.3,1997
403108,6.1,1997
403109,6.0,1997
403110,6.4,1997
403111,7.3,1997
403112,3.7,1997
403113,3.5,1997
403114,6.8,1997
403115,7.7,1997
403116,5.9,1997
403117,6.0,1997
403118,5.5,1997
403119,6.6,1997
403120,6.0,1997
403121,6.5,1997
403122,6.4,1997
403123,7.7,1997
403124,5.6,1997
403125,6.1,1997
403126,5.3,1997
403127,6.1,1997
403128,7.4,1997
403129,7.0,1997
403130,8.3,1997
403131,4.8,1997
403132,5.8,1997
403133,5.1,1997
403134,6.5,1997
403135,7.1,1997
403136,7.8,1997
403137,6.7,1997
403138,5.8,1997
403139,5.2,1997
403140,4.7,1997
403141,6.9,1997
403142,7.0,1997
403143,5.5,1997
403144,6.2,1997
403145,7.5,1997
403146,5.9,1997
403147,6.4,1997
403148,6.4,1997
403149,6.7,1997
403150,2.9,1997
403151,7.3,1997
403152,7.0,1997
403153,7.4,1997
403154,7.4,1997
403155,5.1,1997
403156,5.3,1997
403157,6.4,1997
403158,5.8,1997
403159,7.7,1997
403160,3.7,1997
403161,7.2,1997
403162,6.1,1997
403163,5.5,1997
403164,6.3,1997
403165,7.0,1997
403166,7.4,1997
403167,6.1,1997
403168,6.5,1997
403169,6.3,1997
403170,5.4,1997
403171,6.7,1997
403172,6.6,1997
403173,5.5,1997
403174,6.9,1997
403175,6.1,1997
403176,7.2,1997
403177,6.7,1997
403178,7.2,1997
403179,7.4,1997
403180,6.4,1997
403181,7.8,1997
403182,7.3,1997
403183,5.4,1997
403184,6.2,1997
403185,6.0,1997
403186,4.9,1997
403187,7.2,1997
403188,5.0,1997
403189,7.1,1997
403190,4.7,1997
403191,6.9,1997
403192,6.5,1997
403193,7.2,1997
403194,6.7,1997
403195,6.2,1997
403196,4.7,1997
403197,6.3,1997
403198,7.0,1997
403199,6.8,1997
403200,6.9,1997
403201,4.9,1997
403202,5.8,1997
403203,6.8,1997
403204,5.7,1997
403205,4.0,1997
403206,5.3,1997
403207,7.5,1997
403208,5.5,1997
403209,4.8,1997
403210,7.9,1997
403211,6.6,1997
403212,5.9,1997
403213,6.8,1997
403214,5.2,1997
403215,5.4,1997
403216,5.7,1997
403217,5.3,1997
403218,2.7,1997
403219,5.6,1997
403220,6.1,1997
403221,4.8,1997
403222,6.5,1997
403223,5.6,1997
403224,5.4,1997
403225,5.7,1997
403226,7.2,1997
403227,5.2,1997
403228,6.0,1997
403229,6.9,1997
403230,6.2,1997
403231,6.8,1997
403232,6.8,1997
403233,5.6,1997
403234,7.2,1997
403235,5.1,1997
403236,5.4,1997
403237,6.1,1997
403238,6.4,1997
403239,4.6,1997
403240,6.6,1997
403241,6.4,1997
403242,5.8,1997
403243,6.5,1997
403244,8.1,1998
403245,8.6,1998
403246,8.5,1998
403247,8.2,1998
403248,8.1,1998
403249,6.7,1998
403250,7.3,1998
403251,6.6,1998
403252,6.5,1998
403253,7.1,1998
403254,6.9,1998
403255,7.2,1998
403256,7.0,1998
403257,7.6,1998
403258,6.2,1998
403259,7.1,1998
403260,6.5,1998
403261,7.2,1998
403262,7.0,1998
403263,7.6,1998
403264,6.3,1998
403265,7.6,1998
403266,7.5,1998
403267,6.7,1998
403268,7.0,1998
403269,7.7,1998
403270,6.8,1998
403271,6.5,1998
403272,7.6,1998
403273,7.0,1998
403274,5.4,1998
403275,7.1,1998
403276,6.5,1998
403277,6.2,1998
403278,6.0,1998
403279,7.1,1998
403280,6.8,1998
403281,6.1,1998
403282,6.6,1998
403283,6.4,1998
403284,6.5,1998
403285,7.3,1998
403286,8.1,1998
403287,5.6,1998
403288,7.0,1998
403289,7.3,1998
403290,5.2,1998
403291,5.4,1998
403292,7.4,1998
403293,6.6,1998
403294,7.7,1998
403295,6.8,1998
403296,6.1,1998
403297,6.6,1998
403298,5.8,1998
403299,6.1,1998
403300,6.6,1998
403301,7.4,1998
403302,7.3,1998
403303,5.8,1998
403304,6.0,1998
403305,6.7,1998
403306,7.5,1998
403307,4.6,1998
403308,5.8,1998
403309,5.6,1998
403310,6.1,1998
403311,7.7,1998
403312,6.7,1998
403313,6.7,1998
403314,6.9,1998
403315,6.5,1998
403316,7.5,1998
403317,6.1,1998
403318,7.0,1998
403319,7.5,1998
403320,7.4,1998
403321,6.8,1998
403322,3.8,1998
403323,8.1,1998
403324,4.7,1998
403325,6.4,1998
403326,7.6,1998
403327,6.0,1998
403328,6.2,1998
403329,6.4,1998
403330,7.0,1998
403331,6.5,1998
403332,6.6,1998
403333,6.1,1998
403334,7.4,1998
403335,6.2,1998
403336,7.0,1998
403337,7.1,1998
403338,6.8,1998
403339,6.4,1998
403340,6.7,1998
403341,5.4,1998
